,text,intent
758,ايه الرقم اللي نتصل بيه لو في حد جاله الفيرس وحالته صعبه,emergency
271,هل يوجد علاج لمرض كورونا أكيد,treatment
656,الإعداد في مصر و قطر,infected cases
55,ماهي اعداد الاصابة في فرنسا ؟,infected cases
478,انا بسأل على علاج,treatment
20,الاعداد في الصين,infected cases
106,عدد المصابين ب كورونا في مصر,infected cases
219,اهلا وسهلا بك,greeting
387,كم عدد حالات اليوم,infected cases
444,أعراض فيرس كرونة,symptoms
112,طيب الموضوع هيخلص امته,nothing identified
689,الحالات الجديدة,infected cases
375,جوزي بينزل الشغل كل يوم وفي ناس تعبانه عنده ايه الاعراض اللي تعرفني ان دي عدوي كورونا,symptoms
208,كيف يتم الوقاية من كورونا بالرغم من ضرورة التعامل مع الجمهور,precautions
742,ماهي اعداد الاصابة في ايطاليا ؟,infected cases
178,ماهى الادوية التي تساعد الجسم ليدافع عن نفسه من كورونا,treatment
642,كحه,assessment
579,اعداد المصابين📊,infected cases
516,كم سعر الدولار,nothing identified
431,طرق وقاية احدث من الطرق الحالية,precautions
281,ماهي اعداد الاصابة في سنغافورة ؟,infected cases
734,الوقايه من كرونا,precautions
389,كان عدد الإصابات مكرونة في مصر,infected cases
367,نميسة عايز أعرف عدد الحالات في لبنان,infected cases
441,كم واحد مصاب في مصر وفي الصين,infected cases
227,كم عدد حالات تايلاند اليوم,infected cases
360,دعاء رفع البلاء,prayers
398,هل الماسك يحمى من الإصابة بالفيرس,muzzle/mask
726,شكرا لحضرتك,reviews
64,اترك مسافة مقدارها كام بينى وبين شخص اخر,precautions
668,كم عدد المصابين النهاردة يا نميسة في مصر؟,infected cases
568,كم عدد الإصابات القرون في مصر,infected cases
429,هي إيه طرق انتقال العدوى,transfer methods
258,كيف احمي نفسي من الكورونا,precautions
111,اعداد الحالات النهارده في مصر,infected cases
747,البرتغال,infected cases
190,ايه اخبار التعليم,education and work
448,في تحليل فالبيت؟,assessment
195,عدد المصابين في اسرائيل,infected cases
205,ايه آخر التطورات فى مصر من فيروس كارونا,infected cases
28,درجه الحراري تؤثر علي كورونا,warm weather
172,ازيك نميسه,how are you
80,اتمني لكم التوفيق لشباب مصر العظيمه,kindness
511,رأي لإنقاص,nothing identified
89,كم عدد حالات الكورونا في مصر اليوم,infected cases
647,اهلا 😊,greeting
186,الإعداد في مصر ولبنان و السعودية ؟,infected cases
524,الفيرس بيجي للاطفال ولا الناس الكبيره بس,most vulnerable
750,اوعدك انك هتبقي اذكي chatbot في العالم,reviews
197,اعراض كورونا ؟؟,symptoms
669,ايه آخر أخبار كرونا,infected cases
272,ما هي عدد حالات الوفيات من كورونا في مصر,infected cases
181,في مصر,infected cases
369,الفيروس ده هنخلص منه أمتي,the evolution of the virus
207,كم عدد المصابين في مصر الان,infected cases
545,وقف الحظر امتي,curfew
615,كم عدد حالات المصابين بالمرض فى جمهوريه مصر العربيه اليوم,infected cases
731,انا بكح,assessment
662,أهلاً .,greeting
610,سرعة القذف,nothing identified
407,ما بعد الشفاء,nothing identified
256,ما هو احتمال زيادة نسبة الاصابات بالفيروس خلال الفترة القادمة,the evolution of the virus
585,اللقاح,treatment
396,مستقبل كورونا مصر,the evolution of the virus
608,نسبة الكحول كام,sterilization and disinfection
420,كم الحالات في كندا,infected cases
18,علاج لدعم المناعة,precautions
182,هل المحشي بيتخن ؟,nothing identified
785,أهلا وسهلا,greeting
179,معدل اصابات في الجزاير,infected cases
378,وكم عدد المصابين الإجمالي,infected cases
214,الوقايه للامراض المزمنه انا مريضه روماتويد,precautions
754,اعداد الحالات في قطر,infected cases
363,هل يتنقل الفيروس عن طريق ملامسه مقابض السيارة اومقابض جميع الأبواب العامة,transfer methods
283,أعداد الحالات في مصر,infected cases
206,ما هو تأثير كرونا,about corona virus
770,ايران وتركيا بريطانيا,infected cases
311,ممكن فى ايطاليا,infected cases
495,عدد الحالات في مصر حتي الان,infected cases
380,تركيا,infected cases
19,كم عدد الحالات فى قطر,infected cases
130,سعال,assessment
330,عدد الوفيات اليوم,infected cases
402,السلام عليكم,greeting
570,نعم ، بالتأكيد 👍,yes
77,ده كده هيبوظ القماش ممكن طريقة تطهير اخري,sterilization and disinfection
508,الحالات فى ايران,infected cases
326,"شكرا لك 
ساتحدث في وقت لاحق عندما احتاج لذلك 👍🌹",reviews
84,انا اسالك ع فيروز كرونا بس,about corona virus
427,الاعداد فى مصر كام,infected cases
469,الإجراءات الاحترازية,precautions
694,كم عدد الحالات في مصر,infected cases
437,سألت قبل كده,nothing identified
680,اعرف ازاي اني مصاب,symptoms
706,وطرق الوقايه,precautions
772,اعداد المصابين فى مصر اليوم,infected cases
592,شكرا,reviews
168,هي أعداد الإصابات في مصر ولبنان,infected cases
121,اسبانيا,infected cases
782,الاشعه المقطعيه علي الصدر تدل علي وجود المرض,disease detection
751,أهلا ناميسه,greeting
614,هل حقيقي خبر ان في دواء بامريكا تم اكتشافه وهيظهر بعد اسبوع ام ان هذه اشاعة,treatment
22,الحالات الجديدة بمصر,infected cases
462,وهل يتأثر مرض حساسية الجيوب الأنفية بالفيرس,symptoms
313,زهقان ايه الحل,treatment
540,وكمان الحلات الى خفت,infected cases
185,كل التقدير والشكر للفكرة الرائعة التى بنى عليها هذا  التطبيق الجيد جدا واشكر المهندس احمد محمود على  هذا التطبيق وربنا يجازيك كل خير,kindness
763,شكرا جزيلا بصراحة خدمة كويسه جدا,reviews
41,الاعداد في فرنسا,infected cases
35,أنا حاسس إن سخنه عندي صداع,assessment
229,طب انتي تقربي لسيري,nothing identified
200,انا عندى صداع ورشح,assessment
501,هل لو جالى كحه اتصرف ازاى,assessment
131,كم عدد الحالات ف ايطاليا,infected cases
306,لبنان,infected cases
743,طيب ليه مش بتجاوبي عن تقرير إسرائيل,infected cases
543,الحالات في امريكا ؟,infected cases
379,روسيا,infected cases
183,هل. الاسهال من اعرض. الكورنا,symptoms
9,عدد الوفيات النهاردة كان في إيطاليا,infected cases
8,والدي تعبان شويه وصدره بيوجعه مش عارف ده دور برد ولا كورونا ؟,most vulnerable
670,بالعربي,spoken languages
188,انت مين,about bot
135,اهلا و ازيك,how are you
487,ايه الاكلات اللي تقوي من مناعه ولادي,food and drinks
463,اخر الاعداد,infected cases
456,هل السعال فقط من أعراض كورنا,symptoms
254,كم عدد حالات كورونا اليوم,infected cases
150,اعداد الحالات في فرنسا و إسبانيا و الأردن,infected cases
695,الدوا إمتي ؟,treatment
412,ما عدد المصابين في مصر,infected cases
103,الحالات اليوم في مصر,infected cases
565,هل الحيوانات تصاب بفيروس,infection by animals
300,طرق التطهير,sterilization and disinfection
344,شكرًا .. شكرًا .,reviews
556,انت منين نميسه,about business
298,مده الحجر بعد الشفاء من كورونا,home quarantine
194,انا درجة حرارتى 39,assessment
449,أهلاا,greeting
87,طب مفيش حل لسه لي كرونا,treatment
1,ومخاصمك,nothing identified
520,كام عدد الحالات الجديدة في السعودية؟,infected cases
433,اعراض كرونا,symptoms
12,طاهر إزاي البيت والملابس,sterilization and disinfection
473,هل نحن فى أمان,panic among the people
50,تقرير وزارة الصحة عن اليوم,infected cases
268,اعراضه ايه,symptoms
293,ألات في إيطاليا,infected cases
513,كيف حالك يا نميسة,how are you
771,اعراض مرض الكرونه,symptoms
693,سلام,end conversation
386,ايه الأكلات اللي اعملها لولادي عشان تمنع العدوي تجلهم,food and drinks
404,شكرا يا نموسة,reviews
270,عدد الإصابات في مصر النهاردة كام ؟,infected cases
358,ما هو كونك,about corona virus
174,الكويت,infected cases
180,وهي صداع من أعراضه,assessment
24,اعداد الحالات في جنوب أفريقيا و السودان,infected cases
740,آخر أخبار كورونا في مصر,the evolution of the virus
523,اهلاً,greeting
602,كنت محتاج تقرير كامل بالحالات حول العالم,infected cases
399,متوقع  ينتهي متي الوباء كرونا,the evolution of the virus
584,أشعر بالم في الصدر. هل هذا من اعراض الكرونا,assessment
42,الحالات الإيجابية النهردا كام في مصر,infected cases
315,قشطه عليكي,reviews
776,عدد حالات مصر النهارده,infected cases
756,الحالات فى الأردن,infected cases
503,اخبار كورنا ايه,about corona virus
302,شكراً نميسة,reviews
11,التقرير النهارده كام,infected cases
246,دي الحالات حالات كرونة في مصر,infected cases
627,كوسوفو,infected cases
349,عربي,spoken languages
481,مص,nothing identified
788,كم عدد الحالات,infected cases
425,الاعراض الاولى لإصابة كورونا,symptoms
492,انتى منين,about bot
502,يا نميسة من صنعك,about business
588,ايه الاعراض,symptoms
496,إعداد الحالات,infected cases
494,الحالات في السعوديه وصلت لكام,infected cases
560,شكرا جدا,reviews
44,اخر دواء لكورونا,treatment
54,م,nothing identified
82,كيفية الوقاية من فيرس كرونة,precautions
622,اعداد اليوم,infected cases
213,هل كورونا سينتهي مع شدة حرارة الطقس,warm weather
552,لو حد جتلة كحة شديدة وبحة صوت و ضيقة نفس بس مافيش سخونة ولا بلغم وعمل أشعة على الصدر ومافيش حاجة ممكن تكون كورونا رغم رفض الحميات استقبالة,assessment
166,ما هو كورونا,about corona virus
193,اه باعربى,spoken languages
48,بروتوكول العلاج,treatment
304,ما هى عدد الحالات فى دوله قطر,infected cases
250,هل يوجد مصل لعلاج كورونا,treatment
746,هل تم الوصول الي مصل ضد فيروس كورونا,treatment
226,ما نسبة الإصابة اليوم في مصر,infected cases
359,اعداد المصابين في مصر,infected cases
25,النسبه المؤيه بالنسبه لعدد السكان,nothing identified
491,عامله اي,how are you
651,اقصد ايه اعراض كروانا  انا يوم وتاني يوم,symptoms
100,طيب ما أنا سألت كم عدد الحالات في إسرائيل,infected cases
553,أعداد المصابين فى مصر,infected cases
210,انا مش بكح,assessment
81,ايه الدوله ال مش فيها كورونا,nothing identified
691,ما هي أعراض المرض,symptoms
0,كم عدد مستشفيات العزل فى مصر وما هى اماكنها,business location
234,إيه آخر أخبار كورونا في مصر,infected cases
600,ازيك,how are you
145,كمان عايز اعرف ايه المقصود بنتائج تحولت حالتها من ايجابيه لسلبيه,nothing identified
371,الفرق بين كورونا وااانفانزا,comparison
567,آه فيكم إصابة كرونة في العالم لحد دلوقتي,infected cases
573,نسب الوفيات فى قطر؟,infected cases
305,النمسا اخبار الأصابات,infected cases
667,حميات,business location
123,آه هي أعراض فيرس كرونة,symptoms
591,في جده,infected cases
392,السلام عليكم ورحمة الله وبركاته,greeting
644,شكرا ليكم,reviews
619,كام عدد المصابين الآن في مصر بفيروس كرونا,infected cases
120,إسرائيل,infected cases
716,اه,yes
319,"شكرا
اللي بسأل عليه مش عندك شكرا لتعبك",reviews
98,متى ينتهي كرونا,the evolution of the virus
143,انا بتسأل عن مستشفيات خاصة علشان لا قدر الله موضوع كورونا,business location
324,اعمل ايه,nothing identified
465,ما هو فيروس الكرونا,about corona virus
159,أعداد الحالات في مصر آه النهاردة إيه,infected cases
225,من فضلكم عاوزة اعرف مدة بقاء فيرس كورونا على الاسطح بشكل دقيق,transfer methods
187,هو طالما الصيف جه كده الفيرس هينتهي,warm weather
88,ماهو تحليل pcr,laboratory
146,أساليب الإصابة أساليب الوقاية من الإصابة,precautions
575,بخصوص كرونا,about corona virus
357,إعداد في مصر كام,infected cases
4,كام عدد الوفيات النهارده,infected cases
17,مرحبا,greeting
773,كيف يمكن التواصل معكم؟,about business
658,دولة كوسوفو,infected cases
72,كيف أحمي نفسي,precautions
291,هو طالما الصيف جه كده الفيرس هيتقتل,warm weather
149,كام,infected cases
562,هو الحظر اتجدد؟,curfew
101,شكرا نميسه,reviews
102,عدد المصابين في مصر,infected cases
248,اهلل,greeting
235,في في مصر كان واحد مصاب,infected cases
521,ما هي الأعراض التي تؤكد الإصابة بكورونا,symptoms
541,شكلك غبية,nothing identified
247,اعداد المصابين,infected cases
21,منحنى كورونا فى ايطاليا,infected cases
263,اي المتوقع مع كورونا بعد شهر,the evolution of the virus
366,هل يمكن الاصابة بكورونا دون ملامسة شخص مصاب او الاقتراب منه ؟,transfer methods
3,انا اسف,nothing identified
269,بيقعد علي الاسطح كام ساعه,transfer methods
665,ما هو قرونه,about corona virus
211,الوقايه من كورونه,precautions
421,الاثار المتراكمة بعد الشفاء,nothing identified
718,ايه عالامات المرض,symptoms
255,ايه الاكتر اهمية في موضوع كورنا هل ايجاد لقاح ولا علاج في الايام دي,treatment
122,خلاص يا حاجة,no
454,المانيا,infected cases
729,إعداد المصابين,infected cases
154,العدوي ممكن تنتقل من الهوا لما بنزل الشارع؟,transfer methods
422,اهلا ازيك,how are you
280,في غضون شهر,nothing identified
774,ما هي اعراض المرض,symptoms
707,حالات النهاردة,infected cases
400,متى نرجع عملنا,back to work
744,الحالات في مصر,infected cases
316,اقل دولة فى نسب الوفيات ايه؟,infected cases
626,اعداد الإصابات في امريكا و اطاليا امبارح ؟,infected cases
245,هي أطهر من فيرس كرونة,sterilization and disinfection
376,هو إيه الفرق بين فيرس كرونو الإنفلونزا العادية,comparison
493,الصين,infected cases
671,ما فيش اخبار عن أي مصر أو أي دواء,treatment
262,طب اى الى بيقوى المناعه,food and drinks
648,اعرض االمرض,symptoms
128,وانا شاهدت صاحب فكرة البرنامج مع محمود سعد,nothing identified
308,مصابين ١١من أبريل كام في مصر,infected cases
294,انا عندي خمسون سنه وركبت دعامه فى القلب..فهل.يحوز أن. اصوم.ولا.لاء,most vulnerable
460,يقال انه فيه علاج توصلو اليه هل هذا صحيح,treatment
490,كام حاله في السويد,infected cases
276,امريكا,infected cases
629,كيفيه التعامل مع الشنط والاغراض التي يتم شرائها,precautions
124,عداد الحالات,infected cases
337,الحالات في إيطاليا و إنجلترا,infected cases
394,اهلا نميسة,greeting
472,ازيك 😍,how are you
557,هل الاصابه تأتي بالمخالط لحالة اصابه فقط,transfer methods
310,علامات المرض,symptoms
33,ما نسبة الشفاء الي الوفاه في مصر,infected cases
450,كم عدد المصابين حاليا,infected cases
674,كام عدد مصبين كرونا في مصر,infected cases
212,هل  تعقيم الشوارع له فايده في مواجهه كورونا,sterilization and disinfection
222,هل يوجد علاج فعال,treatment
46,هل لبس القناع مهم ام لا,muzzle/mask
482,ف حجر المسافرين من ليبي,home quarantine
413,هل تم الوصول لدواء معين لمعالجة الفيروس,treatment
114,واو ده انتي معديه,reviews
655,اماكن الحجر الصحي في مصر,home quarantine
93,اخويا مدخن بيشرب سجاير كتير ممكن الفيرس يجيلو بسببها ؟,smoking
56,الزيك اهلا ومرحبا بحضراتكم,greeting
343,كم عدد الحالات المصابة في الهند,infected cases
218,عدد الوفيات اليوم فى مصر,infected cases
204,نميسة ممكن اعرف اعداد الوفيات في مصر بالنسبه لباقي الدول العربيه,infected cases
373,كيفية الحذر من قرون,precautions
779,ازاى اتجنب الفيرس,precautions
551,كم عدد الحالات الاسكندريه,infected cases
528,ايه هو الفرق,comparison
483,عدد المصابين النهارده في نصر,infected cases
426,اعداد الحالات في كل محافظة؟,infected cases
530,اعداد الإصابة في مصر وصل كام,infected cases
574,هل ممكن ارسال المعلومات باللغة العربية,spoken languages
780,كام عدد الحالات فى امريكا,infected cases
177,كم عدد الحالات المصابة بالكورونا اليوم,infected cases
342,هو أنا لازم ألبس جوانتي,gloves
621,اهلا ناميسا,greeting
686,طب انتي ذكية؟,nothing identified
566,انا تعبانه من قبل المطر ومازلت مريضه,assessment
632,طبعا هيقولو دي مش اعراض كورونا,symptoms
292,الكحول ال95%مفيد ولا ايه,sterilization and disinfection
13,هل مادة الفينيك تقتل الفيروسات بحيث يمكن استخدامها في تطهير العمارات والأسطح؟؟؟,sterilization and disinfection
279,الاسكندرية مستسفى واحد فقط,business location
156,اسمك,about bot
781,انا اعرف ازاى انا عندى الكورونا,symptoms
275,مرحبا نميسه,greeting
165,ما هى اعراض الاصابه بالكوفونظ؟,symptoms
531,طفشت من قعدة ادبيت,home quarantine
244,هل مئكن مروح المستشفى اقولهم حللولي عإان النفس تقشل,business location
184,اشمل ايه وانا مضطل افزل الشغل و شغلي كل يوم ف عكان مختلف,education and work
14,كم عدد المصابير اؤيوم في مصر,infected cases
705,عدد الحالات في إسرائيز,infected cases
233,البيان,infected cases
113,ما هي الأعراث,symptoms
66,شا هي اضرار فيروس كوروضا,about corona virus
277,أهلا بحضرتكم تشرفنا ريكم,reviews
679,سألتهظ ما هي علاهات المرض ؟,symptoms
264,الحالات في مصر قد اته ؟,infected cases
589,اي محافظات تم اكتشاف قلات ةيها,infected cases
328,هل مرض كةرونا يؤثر على طلمصابين باجتهاب فف الرئة؟,symptoms
126,اعداد الحالات في اطاليا و هوهاندا,infected cases
571,العامة,nothing identified
15,ماهى آخر تأورات رورونا فى السعوديه,infected cases
498,كام عدد حغلات مصر,infected cases
70,اهل ممكن العدد ثزي,infected cases
38,عدد اشاصابات,infected cases
374,كم عدء المتابين في مصر اليوم؟,infected cases
